new covid19 cases,new covid19,je,last 24,covid19 outbreak,casos nuevos,confinement,contagios,nous,stay home stay,vous,qu,active cases,il faut,april,pas,new covid 19,new covid,staying home,wearing masks,front lines,covid 19 cases,19 cases,est pas,il est,second,spike,ppe,ministerio salud,ce,est,increase
-1,-1,0,-1,0,-1,0,5080,0,0,0,0,-1,0,0,3244,-1,-1,0,-1,0,-1,-1,0,0,3862,0,0,-1,0,4740,3019
494,868,0,791,0,688,0,3907,0,0,0,0,1089,0,0,2788,2267,2363,0,1404,0,7136,7160,0,0,2675,1988,0,514,0,3755,2624
495,930,0,803,0,741,0,3790,0,0,0,0,1220,0,0,2556,2551,2641,0,1221,0,7680,7701,0,0,3430,2642,0,548,0,3663,2961
445,965,2516,897,0,731,0,4267,0,0,0,0,1439,0,0,3582,2622,2724,0,1303,0,7800,7834,0,0,3116,2842,0,513,0,5347,2784
634,1079,0,729,0,774,0,4733,0,0,0,0,1293,0,0,3238,2788,2919,0,1364,0,7888,7925,0,0,3510,0,0,653,0,4822,3144
488,998,2693,949,0,859,0,4927,0,0,0,0,1312,0,0,3256,2824,2921,0,1141,0,7918,7943,0,0,3193,0,0,613,0,4780,2955
490,951,2489,838,0,871,0,5734,0,0,0,0,1323,0,0,2764,2655,2759,0,1090,0,8213,8245,0,0,3389,2650,0,638,0,4035,3054
464,906,2622,761,0,786,0,5494,0,0,0,0,1291,0,0,3103,2469,2582,0,1143,0,7373,7396,0,0,3121,0,0,588,0,4659,2800
468,759,2150,693,0,709,0,3869,0,0,0,0,1059,0,0,2634,1867,1938,0,982,0,6297,6332,0,0,3272,2038,0,527,0,3880,2161
561,844,2104,830,0,669,0,3515,0,0,0,0,1332,0,0,2919,1989,2063,0,851,0,6251,6267,356,0,2509,1781,0,487,0,4017,0
525,825,0,642,0,735,0,5284,0,0,0,0,1272,0,0,3147,2401,2562,0,1036,0,8605,8645,0,0,3571,0,0,565,0,4260,2567
450,844,2719,648,0,801,0,4643,0,0,0,0,1130,0,0,3149,3008,3199,0,843,0,6200,6222,0,0,4225,0,0,548,0,4664,0
483,853,0,607,0,749,0,4370,0,0,0,0,1107,0,0,3209,2654,2813,0,1200,0,6767,6790,490,0,5256,0,0,589,0,4968,3080
421,708,0,593,0,732,0,4021,0,0,0,0,1161,0,0,2751,2566,2662,0,1265,0,6848,6868,0,0,5905,0,0,496,0,4501,2883
577,933,0,686,0,735,0,4730,0,0,0,0,1130,0,0,3002,2615,2755,0,1038,0,6744,6772,416,0,3487,0,0,536,0,4434,3240
499,739,1946,771,0,688,0,3927,0,0,0,0,937,0,0,2724,1966,2073,0,837,0,6139,6160,405,0,2192,0,0,532,0,4009,2084
324,563,0,622,0,655,0,3646,0,0,0,0,945,0,0,2718,1953,2068,0,712,0,6011,6030,0,0,2893,0,0,587,0,3774,0
447,754,0,730,0,713,0,4256,0,0,0,0,996,0,0,3321,2513,2621,0,1071,0,6775,6794,0,0,2947,0,0,616,0,4473,2436
404,722,2551,581,0,669,0,4140,0,0,0,0,1236,0,0,3818,2246,2387,0,1089,0,6576,6587,458,0,4340,0,0,594,0,5691,2483
383,717,0,505,0,700,0,4149,0,0,0,0,1117,0,0,2766,2221,2372,0,837,0,5842,5858,0,0,4740,0,0,513,0,4426,2295
